,Date,Open,High,Low,Close,Volume,MACD,RSI,ATR,MFI,CPI,USDX,IR,TB,EFFR,RMT,Score
67,11/9/2016,1724.49,1724.64,1692.64,1696.86,1022692,13.59485631,16.98619116,18.97198334,21.96528343,116.1,108.1606,4.8,3,3.59,232.14,0.14911
68,11/10/2016,1696.86,1711.91,1689.23,1697.17,1065351,16.94226336,17.27686024,19.23684167,23.03106193,116.1,108.1606,4.8,3,3.59,232.14,0.33723
69,11/13/2016,1697.17,1708.18,1690.79,1700,862269,19.14604652,20.21937456,19.10492441,30.56270847,116.1,108.1606,4.8,3,3.59,232.14,0.29712
70,11/14/2016,1700.77,1708.98,1700.77,1706.28,856688,20.15350002,26.87907039,18.38171553,36.91001632,116.1,108.1606,4.8,3,3.59,232.14,0.47549
71,11/15/2016,1706.28,1714.57,1699.88,1701.91,946411,21.06174992,25.19070304,18.11802156,42.92586542,116.1,108.1606,4.8,3,3.59,232.14,0.39325
72,11/16/2016,1701.91,1709.59,1695.94,1698.9,1000727,21.77343574,23.99294466,17.79887716,36.17039681,116.1,108.1606,4.8,3,3.59,232.14,0.3455
73,11/17/2016,1698.9,1700.95,1657.37,1658.08,1620787,25.33919032,13.75728176,19.64038594,35.72175067,116.1,108.1606,3.8,2.34,2.67,287.66,0.51441
74,11/20/2016,1658.08,1658.51,1577.71,1599.62,1532528,32.50758276,8.068963479,24.0089298,34.57195945,116.1,108.1606,3.8,2.34,2.67,287.66,-0.08163
75,11/21/2016,1599.62,1618.95,1572.17,1606.29,1386895,37.22130809,12.81476042,25.63543481,33.67038795,116.1,108.1606,3.8,2.34,2.67,287.66,0.31409
76,11/22/2016,1606,1606,1574.86,1582.47,1269600,42.39039423,10.56694659,26.04933233,32.52479833,116.1,108.1606,3.8,2.34,2.67,287.66,0.447342857
77,11/23/2016,1582.47,1583,1539.04,1540.01,1538788,49.34428913,7.765390674,27.32866573,25.18222121,116.1,108.1606,3.8,2.34,2.67,287.66,0.51535
78,11/24/2016,1540.01,1572.72,1516.74,1534.03,1607098,54.70720634,7.444643535,29.37518961,17.88702123,116.1,108.1606,3.8,2.34,2.67,287.66,0.12211
79,11/27/2016,1534.03,1536.53,1468.99,1469.48,1475097,63.43476591,4.91574349,32.10124749,17.27274575,116.1,108.1606,3.8,2.34,2.67,287.66,0.2069
80,11/28/2016,1469.48,1512.14,1404.31,1510.16,1395511,66.30456596,23.75040787,37.5104441,16.87040318,116.1,108.1606,3.8,2.34,2.67,287.66,0.02466
81,11/29/2016,1510.16,1554.58,1468.28,1553.68,1414328,64.3256963,38.73146931,40.99541238,23.98158819,116.1,108.1606,3.8,2.34,2.67,287.66,0.45241
82,11/30/2016,1553.68,1608.37,1553.42,1608.33,3050818,57.68269932,52.3082671,41.99216864,31.13993487,116.1,108.1606,3.8,2.34,2.67,287.66,0.43104
